"Country or Area","Year","Value","Value Footnotes"
"57","Source: The national poverty line is absolute. Data are produced by government. Most Recent Comparable Series:2006,2007,2008,2009,2010,2011,2012,2013,2014,2015. The complete series can be downloaded from the databank, http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database. Poverty line is absolute. Government estimate."
"58","Source: National Statistical Committee (2011) Living standards of the populaion in the Kyrgyz Republic 2006-2010. Poverty line is absolute. Government estimate."
"59","Source: Poverty Profile in Lao PDR; Poverty report for the Lao Consumption and Expenditure Survey 2012-2013 The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"60","Source: Poverty in Lao PDR 2008, Ministry of Planning and Investment, Department of Statistics, 2010 The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"61","Source: Poverty in Lao PDR 2008, Ministry of Planning and Investment, Department of Statistics, 2010. Poverty line is absolute. Government estimate."
"62","Source: CAS and World Bank (2015). Measuring poverty in Lebanon using 2011 HBS. The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"63","Source: The World Bank. Poverty line is absolute. World Bank estimate."
"64","Source: Madagascar Poverty, Gender and Inequality Assessment. Poverty line is absolute. Government estimate."
"65","Source: INTEGRATED HOUSEHOLD SURVEY 2010-2011: HOUSEHOLD SOCIO-ECONOMIC CHARACTERISCTICS REPORT. Poverty line is absolute. Government estimate."
"66","Source: PMS policy brief No. 2 (revised) The state of Malawiâ€™s poor: The incidence, depth, and severity of poverty. Poverty line is absolute. Government estimate."
"67","Source: Department of Statistics Malaysia. Poverty line is absolute. Government estimate."
"68","Source: Profil de la Pauvrete en Mauritanie 2008. Poverty line is absolute. Government estimate."
"69","Source: PROFIL DE LA PAUVRETE EN MAURITANIE â€“ 2008. Poverty line is absolute. Government estimate."
"70","Source: PROFIL DE LA PAUVRETE EN MAURITANIE - 2004. Poverty line is absolute. Government estimate."
"71","Source: Poverty Profile of The Federated States of Micronesia: Technical Report, September 2016. The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate."
"72","Source: The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate."
"73","Source: Information note - poverty in Moldova in 2013 (in Romanian). Poverty line is absolute. Government estimate."
"74","Source: Saracia Republica Moldova 2012. Poverty line is absolute. Government estimate."
"75","Source: Moldova: The Consequences of Several Shocks for Consumption and Poverty, Report No. 49019-MD. Poverty line is absolute. World Bank estimate."
"76","Source: National Statistical Office of Mongolia. Poverty line is absolute. Government estimate."
"77","Source: Royaume du Maroc Haut-Commissariat au Plan. Dynamiques de la pauvretÃ© au Maroc.(http://www.hcp.ma/file/111923/) and http://www.hcp.ma/Indices-de-la-pauvrete-vulnerabilite-et-inegalite-selon-le-milieu-de-residence-1985-2007_a658.html. Poverty line is absolute. Government estimate."
"78","Source: Royaume du Maroc Haut-Commissariat au Plan. Dynamiques de la pauvretÃ© au Maroc. (http://www.hcp.ma/file/111923/) and http://www.hcp.ma/Indices-de-la-pauvrete-vulnerabilite-et-inegalite-selon-le-milieu-de-residence-1985-2007_a658.html. Poverty line is absolute. Government estimate."
"79","Source: Royaume du Maroc Haut-Commissariat au Plan. Dynamiques de la pauvretÃ© au Maroc. (http://www.hcp.ma/file/111923/). Poverty line is absolute. Government estimate."
"80","Source: POBREZA E BEM-ESTAR EM MOÃ‡AMBIQUE: TERCEIRA AVALIAÃ‡ÃƒO NACIONAL. Poverty line is absolute. Government estimate."
"81","Source: Poverty Dynamics Report in Namibia: A comparative study using the 1993/04, 2003/04 and the 2009/10 NHIES surveys. Poverty line is absolute. Government estimate."
"82","Source: Poverty dynamics in Namibia: A comparative study using the 1993/94, 2003/04 and the 2009/10 NHIES surveys. Poverty line is absolute. Government estimate."
"83","Source: Poverty in Nepal, Nepal Living Standards Survey (NLSS-III, 2010-11), Central Bureau of Statistics (CBS). Poverty line is absolute. Government estimate."
"84","Source: INIDE / EMNV 2001, 2005, 2009, 2014, and 2016. Poverty line is absolute. Government estimate."
"85","Source: LSMS-ISA 2011 and 2014. Poverty line is absolute. Government estimate."
"86","Source: Poverty assessment. Poverty line is absolute. Government estimate."
"87","Source: Poverty in Pakistan, Raising the Bar. HIES and World Bank Staff calculations. The welfare measure used is consumption per adult equivalent. Poverty line is absolute."
"88","Source: Papua New Guinea Poverty Profile.Based on the 2009/10 Household Income and Expenditure Survey Draft Technical Report; June 2012. GINI index from the WB staff estimates using the dataset The welfare measure used is consumption per adult equivalent. Poverty line is absolute. World Bank estimate."
"89","Source:  INEI. Encuesta Nacional de Hogares 3; Moderate Poverty Line (individuals); Estimates based on new methodology since 2004; Not comparable with prior series (www.inei.gob.pe). Poverty line is absolute. Government estimate."
"90","Source: The Philippines Statistics Authority (PSA). Poverty line is absolute. Government estimate."
"91","Source: Federal State Statistics Service. The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"92","Source: Poverty line is absolute. Government estimate."
"93","Source: National Bureau of Statistics (NBS): Statistical Bulletin The welfare measure used is income per adult equivalent. Poverty line is absolute. Government estimate."
"94","Source: Solomon Island Poverty Profile based on the 2012/13 Household Income and Expenditure Survey, December 2015. (Not comparable with 2005 Estimate.) The welfare measure used is consumption per adult equivalent. Poverty line is absolute. Government estimate."
"95","Source: Poverty Trends in South Africa : An examination of absolute poverty between 2006 and 2015. Poverty line is absolute. Government estimate."
"96","Source: A Poverty Profile for the Southern States of Sudan. Poverty line is absolute. Government estimate."
"97","Source: Household Income and Expenditure Survey 2012/13 Final Report Department of Census and Statistics, March 31, 2015.ISBN 978-955-577-857-2. Poverty line is absolute. Government estimate."
"98","Source: Poverty Indicators - Household Income and Expenditure Survey 2009/10 by Department of Census and Statistics. Ministry of Finance and Planning. ISSN 1391-4696 (May 2011). Poverty line is absolute. Government estimate."
"99","Source: Poverty Indicators - Household Income and Expenditure Survey 2006/07 by Department of Census and Statistics. Ministry of Finance and Planning. ISSN 1391-4695 (March 2008). Poverty line is absolute. Government estimate."
"100","Source: A Poverty Profile for the Northern States of Sudan. Poverty line is absolute. Government estimate."
"101","Source: Khalid Abu-Ismail, Ali Abdel-Gadir and Heba El-Laithy (2011) Poverty and Inequality in Syria (1997-2007) Arab Development Challenges Report Background Paper 2011/15. (http://arabstates.undp.org/content/dam/rbas/doc/poverty/BG_15_Poverty%20and%20Inequality%20in%20Syria_FeB.pdf). Poverty line is absolute. Government estimate."
"102","Source: Government of Syria and UNDP. Poverty in Syria 1996 - 2004. (http://www.cbssyr.sy/Poverty%20in%20syria%20EN.htm). Poverty line is absolute. Government estimate."
"103","Source: National announcement from the Statistics office to the Press.overty line is absolute. Government estimate."
"104","Source: The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"105","Source: World Bank and Directorate of National Statistics, "Timor-Leste - Poverty in a young nation", 2008 The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"106","Source: Institut National de la Statistique et des Etudes Economiques et DÃ©mographiques: Togo- Profil de Pauvrete 2006-2011-2015. Poverty line is absolute. Government estimate."
"107","Source: Institut National de la Statistique et des Etudes Economiques et DÃ©mographiques: TOGO - PROFIL DE PAUVRETE 2006-2011. Poverty line is absolute. Government estimate."
"108","Source: The national poverty line is absolute. Data are produced by government. Most Recent Comparable Series:1992,1996,1999,2002,2005,2009,2012. The complete series can be downloaded from the databank, http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database. Poverty line is absolute. Government estimate."
"109","Source: Uganda Bureau of Statistics. Poverty line is absolute. Government estimate."
"110","Source: UGANDA BUREAU OF STATISTICS: UGANDA NATIONAL HOUSEHOLD SURVEY 2005/2006 REPORT ON THE SOCIO-ECONOMIC MODULE. Poverty line is absolute. Government estimate."
"111","Source: UGANDA BUREAU OF STATISTICS: UGANDA NATIONAL HOUSEHOLD SURVEY 2002/2003 REPORT ON THE SOCIO-ECONOMIC SURVEY. Poverty line is absolute. Government estimate."
"112","Source: UGANDA BUREAU OF STATISTICS: UGANDA NATIONAL HOUSEHOLD SURVEY 20002/2003 REPORT ON THE SOCIO-ECONOMIC SURVEY. Poverty line is absolute. Government estimate."
"113","Source: Instituto Nacional de Estadistica de Uruguay (INE) - Encuesta Continua de Hogares (ECH). Poverty line is absolute. Government estimate."
"114","Source: GSO Publication, Poverty and Migration Profile 2012. The welfare measure used is consumption per capita. Poverty line is absolute. Government estimate."
"115","Source: Palestinian Central Bureau of Statistics."
"116","Source: The Government of Yemen, The World Bank and the UNDP, 2007. Yemen Poverty Assessment, Volume 1. Poverty line is absolute. Government estimate."
